Gene	Reaction	PathwayID	PathwayName
NCU00585.7	RXNARA-8002	PWY-6475	<i>trans</i>-lycopene biosynthesis II (plants)
NCU08998.7	GABATRANSAM-RXN	GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)
NCU07308.7	RXN-9546	PWY-5972	stearate biosynthesis I (animals)
NCU07307.7	RXN-9546	PWY-5972	stearate biosynthesis I (animals)
NCU07308.7	RXN-9545	PWY-5972	stearate biosynthesis I (animals)
NCU07307.7	RXN-9545	PWY-5972	stearate biosynthesis I (animals)
NCU07308.7	RXN-9544	PWY-5972	stearate biosynthesis I (animals)
NCU07307.7	RXN-9544	PWY-5972	stearate biosynthesis I (animals)
NCU07308.7	RXN-9543	PWY-5972	stearate biosynthesis I (animals)
NCU07307.7	RXN-9543	PWY-5972	stearate biosynthesis I (animals)
NCU02571.7	ACETYL-COA-ACETYLTRANSFER-RXN	P163-PWY	lysine fermentation to acetate and butyrate
NCU02726.7	ETHANOLAMINE-KINASE-RXN	PWY-3385	choline biosynthesis I
NCU03415.7	RXN66-3	PWY66-162	ethanol degradation IV (peroxisomal)
NCU00378.7	RXN66-3	PWY66-162	ethanol degradation IV (peroxisomal)
NCU07053.7	RXN66-3	PWY66-162	ethanol degradation IV (peroxisomal)
NCU03880.7	2.7.7.15-RXN	PWY3O-450	phosphatidylcholine biosynthesis I
NCU03139.7	HISTCYCLOHYD-RXN	HISTSYN-PWY	histidine biosynthesis
NCU03139.7	HISTPRATPHYD-RXN	HISTSYN-PWY	histidine biosynthesis
NCU00150.7	PRIBFAICARPISOM-RXN	HISTSYN-PWY	histidine biosynthesis
NCU07156.7	GLUTAMIDOTRANS-RXN	HISTSYN-PWY	histidine biosynthesis
NCU01300.7	IMIDPHOSDEHYD-RXN	HISTSYN-PWY	histidine biosynthesis
NCU06360.7	HISTAMINOTRANS-RXN	HISTSYN-PWY	histidine biosynthesis
NCU06974.7	HISTIDPHOS-RXN	HISTSYN-PWY	histidine biosynthesis
NCU03139.7	HISTOLDEHYD-RXN	HISTSYN-PWY	histidine biosynthesis
NCU00468.7	PREPHENATEDEHYDROG-RXN	TYRSYN-1	tyrosine biosynthesis I
NCU06054.7	RXN66-281	PWY-5670	epoxysqualene biosynthesis
NCU04569.7	5-OXOPROLINASE-ATP-HYDROLYSING-RXN	PWY-4041	&gamma;-glutamyl cycle
NCU07153.7	RXN-6622	PWY-4041	&gamma;-glutamyl cycle
NCU05807.7	NICOTINAMID-RXN	PYRIDNUCSAL-PWY	NAD salvage pathway I
NCU00713.7	NICOTINAMID-RXN	PYRIDNUCSAL-PWY	NAD salvage pathway I
NCU00649.7	NICOTINATEPRIBOSYLTRANS-RXN	PYRIDNUCSAL-PWY	NAD salvage pathway I
NCU03010.7	RXN-8173	PWY-5298	lysine degradation VI
NCU08384.7	RXN-8773	PWY-5516-1	xylose degradation II
NCU09930.7	H2NEOPTERINALDOL-RXN	PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis
NCU00409.7	PREPHENATEDEHYDRAT-RXN	PHESYN	phenylalanine biosynthesis I
NCU06211.7	MALATE-DEH-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU04899.7	MALATE-DEH-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU07697.7	ISOCITRATE-DEHYDROGENASE-NAD+-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU00775.7	ISOCITRATE-DEHYDROGENASE-NAD+-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU03031.7	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU07756.7	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU08336.7	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU00959.7	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU02366.7	ACONITATEDEHYDR-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU02482.7	CITSYN-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU01692.7	CITSYN-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU02366.7	ACONITATEHYDR-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU05425.7	2OXOGLUTARATEDEH-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU02438.7	2OXOGLUTARATEDEH-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU02407.7	2OXOGLUTARATEDEH-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU08471.7	SUCCCOASYN-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU01227.7	SUCCCOASYN-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU09810.7	SUCCCOASYN-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU10008.7	FUMHYDR-RXN	PWY-5690	TCA cycle variation III (eukaryotic)
NCU01428.7	3.5.2.17-RXN	PWY-5691	urate degradation to allantoin
NCU06187.7	AMPSYN-RXN	PWY-6126-1	adenosine nucleotides <i>de novo</i> biosynthesis
NCU03877.7	METHENYLTHFCYCLOHYDRO-RXN	PWY-1722	formaldehyde oxidation V (tetrahydrofolate pathway)
NCU00963.7	METHENYLTHFCYCLOHYDRO-RXN	PWY-1722	formaldehyde oxidation V (tetrahydrofolate pathway)
NCU03877.7	METHYLENETHFDEHYDROG-NADP-RXN	PWY-1722	formaldehyde oxidation V (tetrahydrofolate pathway)
NCU02287.7	ACYLCOADEHYDROG-RXN	FAO-PWY	fatty acid &beta;-oxidation I
NCU08924.7	ACYLCOADEHYDROG-RXN	FAO-PWY	fatty acid &beta;-oxidation I
NCU09885.7	ACYLCOADEHYDROG-RXN	FAO-PWY	fatty acid &beta;-oxidation I
NCU02226.7	5.3.1.23-RXN	PWY-4361	methionine salvage I
NCU09264.7	R145-RXN	PWY-4361	methionine salvage I
NCU05410.7	ACETYLORNTRANSAM-RXN	GLUTORN-PWY	ornithine biosynthesis
NCU00567.7	N-ACETYLGLUTPREDUCT-RXN	GLUTORN-PWY	ornithine biosynthesis
NCU00567.7	ACETYLGLUTKIN-RXN	GLUTORN-PWY	ornithine biosynthesis
NCU01546.7	RXN0-1461	HEME-BIOSYNTHESIS-II	heme biosynthesis from uroporphyrinogen-III I
NCU16404.7	PROTOPORGENOXI-RXN	HEME-BIOSYNTHESIS-II	heme biosynthesis from uroporphyrinogen-III I
NCU00302.7	3-DEHYDROSPHINGANINE-REDUCTASE-RXN	PWY3DJ-12	ceramide biosynthesis
NCU05982.7	RXN-9281	PWY-5871	ubiquinone-9 biosynthesis (eukaryotic)
NCU02209.7	RXN-9601	PWY2T-2575	linoleate biosynthesis II (neurospora)
NCU09497.7	RXN-9601	PWY2T-2575	linoleate biosynthesis II (neurospora)
NCU00602.7	RXN-8675	PWY-5194	siroheme biosynthesis
NCU07849.7	RXN-8675	PWY-5194	siroheme biosynthesis
NCU07585.7	DIMETHUROPORDEHYDROG-RXN	PWY-5194	siroheme biosynthesis
NCU02287.7	ACYLCOADEHYDROG-RXN	PWY-5136-1	fatty acid &beta;-oxidation II (core pathway)
NCU08924.7	ACYLCOADEHYDROG-RXN	PWY-5136-1	fatty acid &beta;-oxidation II (core pathway)
NCU09885.7	ACYLCOADEHYDROG-RXN	PWY-5136-1	fatty acid &beta;-oxidation II (core pathway)
NCU08828.7	OHACYL-COA-DEHYDROG-RXN	PWY-5136-1	fatty acid &beta;-oxidation II (core pathway)
NCU06448.7	ENOYL-COA-HYDRAT-RXN	PWY-5136-1	fatty acid &beta;-oxidation II (core pathway)
NCU08828.7	ENOYL-COA-HYDRAT-RXN	PWY-5136-1	fatty acid &beta;-oxidation II (core pathway)
NCU08687.7	GALACTOKIN-RXN	PWY-6317	galactose degradation I (Leloir pathway)
NCU02397.7	4.1.1.72-RXN	PWY-5078	isoleucine degradation II
NCU02193.7	4.1.1.72-RXN	PWY-5078	isoleucine degradation II
NCU06207.7	RXN3O-218	PWY-6075	ergosterol biosynthesis
NCU04156.7	RXN3O-203	PWY-6075	ergosterol biosynthesis
NCU03339.7	GLUTATHIONE-REDUCT-NADPH-RXN	GLUT-REDOX-PWY	glutathione redox reactions II
NCU02629.7	AICARTRANSFORM-RXN	PWY-6124	inosine-5'-phosphate biosynthesis II
NCU06187.7	AICARSYN-RXN	PWY-6124	inosine-5'-phosphate biosynthesis II
NCU03166.7	SAICARSYN-RXN	PWY-6124	inosine-5'-phosphate biosynthesis II
NCU02193.7	RXN-7692	PWY-5076	leucine degradation III
NCU02397.7	RXN-7692	PWY-5076	leucine degradation III
NCU10292.7	OHMETHYLBILANESYN-RXN	PWY-5189	tetrapyrrole biosynthesis II
NCU01013.7	PORPHOBILSYNTH-RXN	PWY-5189	tetrapyrrole biosynthesis II
NCU03004.7	PYRUVDEH-RXN	PWY2T-15	aerobic xylose fermentation
NCU06482.7	PYRUVDEH-RXN	PWY2T-15	aerobic xylose fermentation
NCU02407.7	PYRUVDEH-RXN	PWY2T-15	aerobic xylose fermentation
NCU07659.7	PYRUVDEH-RXN	PWY2T-15	aerobic xylose fermentation
NCU03559.7	1.10.2.2-RXN	PWY2T-15	aerobic xylose fermentation
NCU06606.7	1.10.2.2-RXN	PWY2T-15	aerobic xylose fermentation
NCU08940.7	1.10.2.2-RXN	PWY2T-15	aerobic xylose fermentation
NCU08947.7	1.10.2.2-RXN	PWY2T-15	aerobic xylose fermentation
NCU01632.7	3-DEHYDROQUINATE-DEHYDRATASE-RXN	PWY-6416	quinate degradation II
NCU06023.7	3-DEHYDROQUINATE-DEHYDRATASE-RXN	PWY-6416	quinate degradation II
NCU01744.7	GLUTAMATE-SYNTHASE-NADH-RXN	PWY-5675-1	nitrate reduction V (assimilatory)
NCU00461.7	GLUTAMATE-DEHYDROGENASE-RXN	PWY-5675-1	nitrate reduction V (assimilatory)
NCU04720.7	RXN0-6377	PWY-5675-1	nitrate reduction V (assimilatory)
NCU09873.7	PEPCARBOX-RXN	GLUCONEO-PWY	gluconeogenesis I
NCU09873.7	PEPCARBOXYKIN-RXN	GLUCONEO-PWY	gluconeogenesis I
NCU02252.7	3PGAREARR-RXN	GLUCONEO-PWY	gluconeogenesis I
NCU07914.7	PHOSGLYPHOS-RXN	GLUCONEO-PWY	gluconeogenesis I
NCU01528.7	GAPOXNPHOSPHN-RXN	GLUCONEO-PWY	gluconeogenesis I
NCU07807.7	F16ALDOLASE-RXN	GLUCONEO-PWY	gluconeogenesis I
NCU04797.7	F16BDEPHOS-RXN	GLUCONEO-PWY	gluconeogenesis I
NCU03117.7	IMP-DEHYDROG-RXN	PWY-841	purine nucleotides <i>de novo</i> biosynthesis II
NIL	IMP-DEHYDROG-RXN	PWY-841	purine nucleotides <i>de novo</i> biosynthesis II
